Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2014-09-11 00:01:45,2014-09-11 08:31:36,80%,8:29,,,,4792
2014-09-11 23:00:09,2014-09-12 08:51:35,94%,9:51,,,,4857
2014-09-13 18:53:14,2014-09-13 20:08:01,15%,1:14,,,,8530
2014-09-14 23:48:06,2014-09-15 08:09:54,90%,8:21,,,,8243
2014-09-16 00:49:47,2014-09-16 08:38:50,83%,7:49,,,,5480
2014-09-16 23:30:57,2014-09-17 08:30:26,96%,8:59,,,,5150
2014-09-18 00:02:31,2014-09-18 08:39:15,95%,8:36,,,,3627
2014-09-19 00:30:35,2014-09-19 07:38:24,77%,7:07,,,,8176
2014-09-23 23:34:30,2014-09-24 07:54:54,90%,8:20,,,,3935
2014-10-06 23:10:19,2014-10-07 08:02:36,97%,8:52,,,,8894
2014-10-11 00:17:28,2014-10-11 08:25:20,89%,8:07,,,,4317
2014-10-13 23:34:32,2014-10-14 08:10:55,92%,8:36,,,,8978
2014-10-14 22:54:48,2014-10-15 07:26:05,90%,8:31,,,,6448
2014-10-15 23:51:04,2014-10-16 07:40:27,83%,7:49,,,,7930
2014-10-17 00:27:41,2014-10-17 08:15:13,78%,7:47,,,,5806
2014-10-18 00:16:55,2014-10-18 08:30:22,87%,8:13,,,,4595
2014-10-19 02:51:45,2014-10-19 09:22:21,69%,6:30,,,,14156
2014-10-19 22:29:07,2014-10-20 08:13:19,90%,9:44,,,,12137
2014-10-21 22:44:43,2014-10-22 07:29:33,92%,8:44,,,,4873
2014-10-22 22:44:44,2014-10-23 07:40:21,96%,8:55,,,,5770
2014-10-23 23:25:36,2014-10-24 06:28:48,76%,7:03,,,,3890
2014-10-27 00:13:01,2014-10-27 07:43:20,82%,7:30,,,,3343
2014-10-27 23:40:35,2014-10-28 07:44:47,86%,8:04,,,,4836
2014-10-28 23:31:13,2014-10-29 07:49:21,83%,8:18,,,,4252
2014-10-30 00:04:13,2014-10-30 08:38:55,92%,8:34,,,,3351
2014-11-03 00:11:14,2014-11-03 07:52:19,86%,7:41,,,,1559
2014-11-04 00:01:27,2014-11-04 08:10:03,87%,8:08,,,,5345
2014-11-04 23:27:18,2014-11-05 07:30:43,89%,8:03,,,,3120
2014-11-10 23:06:47,2014-11-11 06:56:33,81%,7:49,,,,2741
2014-11-11 23:45:55,2014-11-12 07:41:31,86%,7:55,,,,6572
2014-11-12 23:52:48,2014-11-13 08:29:11,94%,8:36,,,,3292
2014-11-14 00:24:02,2014-11-14 07:51:20,78%,7:27,,,,4518
2014-11-17 02:36:40,2014-11-17 08:50:02,65%,6:13,,,,10420
2014-11-21 00:58:47,2014-11-21 07:26:04,56%,6:27,,,,5877
2014-11-23 22:26:30,2014-11-24 08:22:00,89%,9:55,,,,10819
2014-11-25 00:31:52,2014-11-25 06:45:00,61%,6:13,,,,4700
2014-12-01 00:03:57,2014-12-01 07:51:00,83%,7:47,,,,14107
2014-12-02 23:56:28,2014-12-03 06:36:58,72%,6:40,,,,4213
2014-12-06 00:59:23,2014-12-06 08:53:02,82%,7:53,,,,5370
2014-12-10 02:05:03,2014-12-10 08:24:28,68%,6:19,,,,5119
2014-12-11 00:09:50,2014-12-11 07:52:32,83%,7:42,,,,5025
2014-12-15 00:16:12,2014-12-15 07:41:32,80%,7:25,,,,3953
2014-12-19 01:03:19,2014-12-19 08:49:58,77%,7:46,,,,9510
2014-12-22 01:32:13,2014-12-22 08:23:36,72%,6:51,,,,8017
2014-12-26 02:34:24,2014-12-26 10:07:08,82%,7:32,,,,7513
2014-12-29 01:58:04,2014-12-29 09:06:23,76%,7:08,,,,4853
2014-12-30 21:24:08,2014-12-31 08:24:46,84%,11:00,,,,5353
2015-01-10 00:58:30,2015-01-10 06:06:57,56%,5:08,,,,12751
2015-01-14 00:21:40,2015-01-14 06:55:04,66%,6:33,,,,4892
2015-01-17 01:51:59,2015-01-17 08:02:56,73%,6:10,,,,8754
2015-01-19 23:37:30,2015-01-20 08:04:55,82%,8:27,,,,6336
2015-01-23 01:44:04,2015-01-23 09:27:05,77%,7:43,,,,8662
2015-01-24 00:38:06,2015-01-24 07:47:44,69%,7:09,,,,5655
2015-02-13 07:53:46,2015-02-13 09:13:16,16%,1:19,,,,369
2015-02-20 01:33:54,2015-02-20 09:11:19,71%,7:37,,,,7602
2015-02-27 00:04:11,2015-02-27 09:06:18,86%,9:02,,,,6585
2015-03-11 00:27:52,2015-03-11 07:52:14,70%,7:24,,,,6064
2015-03-16 00:35:07,2015-03-16 07:59:40,78%,7:24,,,,10123
2015-03-16 23:41:07,2015-03-17 07:55:00,87%,8:13,,,,4008
2015-03-17 23:57:47,2015-03-18 08:09:56,85%,8:12,,,,4766
2015-03-19 00:47:58,2015-03-19 07:41:00,74%,6:53,,,,5867
2015-03-20 01:00:04,2015-03-20 08:10:26,75%,7:10,,,,5167
2015-03-22 23:26:57,2015-03-23 08:22:09,96%,8:55,,,,8311
2015-03-24 01:21:14,2015-03-24 08:29:55,76%,7:08,,,,6804
2015-03-24 23:23:16,2015-03-25 08:31:01,95%,9:07,,,,4492
2015-03-26 00:05:55,2015-03-26 08:18:00,86%,8:12,,,,4709
2015-03-27 00:19:12,2015-03-27 08:47:41,76%,8:28,,,,5033
2015-04-01 23:49:19,2015-04-02 08:09:51,83%,8:20,,,,3748
2015-04-05 22:48:27,2015-04-06 08:29:38,78%,9:41,,,,8973
2015-04-08 23:06:50,2015-04-09 08:56:53,75%,9:50,,,,6747
2015-04-10 00:28:55,2015-04-10 08:18:52,79%,7:49,,,,5464
2015-04-13 00:18:25,2015-04-13 07:26:11,77%,7:07,,,,7591
2015-04-14 01:18:46,2015-04-14 08:51:03,74%,7:32,,,,7484
2015-04-15 00:24:08,2015-04-15 08:53:33,80%,8:29,,,,5044
2015-04-16 00:23:50,2015-04-16 08:11:00,77%,7:47,,,,8669
2015-04-20 01:18:47,2015-04-20 08:39:03,64%,7:20,,,,11340
2015-04-22 00:19:01,2015-04-22 08:40:11,67%,8:21,,,,5920
2015-04-24 01:35:01,2015-04-24 09:33:59,78%,7:58,,,,4885
2015-04-27 01:13:08,2015-04-27 08:27:55,77%,7:14,,,,4298
2015-04-28 00:42:31,2015-04-28 07:20:00,72%,6:37,,,,4588
2015-04-30 03:18:15,2015-04-30 10:41:10,64%,7:22,,,,9145
2015-05-07 00:10:32,2015-05-07 07:47:22,80%,7:36,,,,10033
2015-05-15 01:59:16,2015-05-15 07:35:43,68%,5:36,,,,10003
2015-05-18 01:54:17,2015-05-18 08:47:19,42%,6:53,,,,1530
2015-05-20 00:20:54,2015-05-20 08:51:00,78%,8:30,,,,6313
2015-06-11 01:24:27,2015-06-11 08:27:32,71%,7:03,,,,3935
2015-06-21 01:25:50,2015-06-21 07:56:19,68%,6:30,,,,3864
2015-06-22 21:55:50,2015-06-23 07:31:34,89%,9:35,,,,7689
2015-06-25 23:58:58,2015-06-26 07:34:25,74%,7:35,,,,7547
2015-06-29 21:27:35,2015-06-30 07:21:52,92%,9:54,,,,8123
2015-07-01 23:25:41,2015-07-02 08:17:34,82%,8:51,,,,6121
2015-07-03 02:11:43,2015-07-03 08:45:59,57%,6:34,,,,10485
2015-07-06 00:46:52,2015-07-06 05:36:45,59%,4:49,,,,3305
2015-07-12 23:22:30,2015-07-13 07:57:16,73%,8:34,,,,8350
2015-07-16 22:49:45,2015-07-17 08:28:03,86%,9:38,,,,13142
2015-07-19 23:48:25,2015-07-20 08:11:42,76%,8:23,,,,5648
2015-07-20 23:37:09,2015-07-21 08:18:17,77%,8:41,,,,10526
2015-07-29 01:21:13,2015-07-29 07:44:15,60%,6:23,,,,8602
2015-08-08 01:45:09,2015-08-08 08:18:03,51%,6:32,,,,14797
2015-08-12 22:41:41,2015-08-13 07:18:33,86%,8:36,,,,7914
2015-08-16 23:33:41,2015-08-17 07:12:15,83%,7:38,,,,3544
2015-08-18 08:26:52,2015-08-18 09:30:12,13%,1:03,,,,0
2015-08-18 13:03:42,2015-08-18 13:39:54,7%,0:36,,,,3290
2015-08-18 23:22:23,2015-08-19 07:44:14,36%,8:21,,,,3924
2015-08-21 00:06:32,2015-08-21 08:47:26,84%,8:40,,,,10132
2015-09-11 07:07:02,2015-09-11 08:25:08,16%,1:18,,,,0
2015-09-11 22:48:02,2015-09-12 09:00:22,96%,10:12,,,,4721
2015-09-18 00:56:18,2015-09-18 09:09:45,81%,8:13,,,,7788
2015-10-01 23:20:02,2015-10-02 07:49:00,89%,8:28,,,,6416
2015-10-04 01:18:28,2015-10-04 08:14:23,72%,6:55,,,,4480
2015-10-05 22:13:39,2015-10-06 06:58:35,94%,8:44,,,,8463
2015-10-06 23:19:20,2015-10-07 07:30:50,89%,8:11,,,,13195
2015-10-20 00:36:38,2015-10-20 07:26:26,67%,6:49,,,,8218
2015-10-27 22:56:56,2015-10-28 07:52:15,98%,8:55,,,,4055
2015-10-31 00:59:32,2015-10-31 09:33:30,93%,8:33,,,,4378
2015-11-04 00:23:00,2015-11-04 07:05:05,76%,6:42,,,,6458
2015-11-04 23:40:02,2015-11-05 07:31:04,85%,7:51,,,,7954
2015-11-17 22:26:19,2015-11-18 07:14:04,94%,8:47,,,,7329
2015-11-23 23:35:02,2015-11-24 05:29:53,62%,5:54,,,,10852
2015-12-10 00:26:06,2015-12-10 07:57:58,83%,7:31,,,,12097
2015-12-31 23:40:19,2016-01-01 05:46:17,59%,6:05,,,,11521
2016-01-04 23:28:09,2016-01-05 08:18:21,93%,8:50,,,,7452
2016-01-07 00:05:56,2016-01-07 07:22:01,75%,7:16,,,,5769
2016-01-08 00:47:36,2016-01-08 08:22:45,72%,7:35,,,,6441
2016-01-20 00:00:26,2016-01-20 08:49:05,98%,8:48,,,,7126
2016-01-25 23:11:08,2016-01-26 07:44:53,83%,8:33,,,,10282
2016-01-27 22:47:30,2016-01-28 08:58:55,96%,10:11,,,,6352
2016-02-02 23:36:05,2016-02-03 06:45:44,72%,7:09,,,,5628
2016-02-16 00:22:42,2016-02-16 07:07:11,65%,6:44,,,,2831
2016-02-16 22:21:57,2016-02-17 07:33:56,99%,9:11,,,,4716
2016-02-19 00:38:54,2016-02-19 07:44:36,86%,7:05,,,,4746
2016-03-03 00:38:33,2016-03-03 08:09:31,74%,7:30,,,,8670
2016-03-04 02:43:37,2016-03-04 05:43:49,32%,3:00,,,,8780
2016-03-07 00:04:41,2016-03-07 08:14:56,80%,8:10,,,,7508
2016-03-16 23:36:48,2016-03-17 08:19:17,95%,8:42,,,,6789
2016-03-24 00:10:50,2016-03-24 07:58:40,83%,7:47,,,,6654
2016-04-05 00:13:26,2016-04-05 03:34:56,16%,3:21,,,,5970
2016-04-05 03:35:09,2016-04-05 08:50:51,57%,5:15,,,,0
2016-04-09 01:07:05,2016-04-09 09:13:24,96%,8:06,,,,5751
2016-04-25 01:49:56,2016-04-25 08:16:06,74%,6:26,,,,6980
2016-04-27 00:09:17,2016-04-27 07:51:12,87%,7:41,,,,4931
2016-04-27 22:51:24,2016-04-28 07:44:55,98%,8:53,,,,8363
2016-04-28 23:48:22,2016-04-29 08:44:19,95%,8:55,,,,5249
2016-05-01 01:55:30,2016-05-01 09:36:18,83%,7:40,,,,19510
2016-05-02 00:40:24,2016-05-02 04:38:13,44%,3:57,,,,13266
2016-05-02 05:32:10,2016-05-02 09:31:59,45%,3:59,,,,1190
2016-05-05 23:57:53,2016-05-06 08:38:30,88%,8:40,,,,5071
2016-05-09 22:19:18,2016-05-10 08:32:38,97%,10:13,,,,6234
2016-05-11 23:05:26,2016-05-12 08:47:41,89%,9:42,,,,7804
